2026-04-13 18:43:50,160 | kafka_producer | INFO | Delivered to topic=transactions partition=2 offset=3815
2026-04-13 18:43:50,161 | kafka_producer | INFO | Delivered to topic=transactions partition=2 offset=3816
2026-04-13 18:43:50,161 | kafka_producer | INFO | Delivered to topic=transactions partition=2 offset=3817
2026-04-13 18:43:50,162 | kafka_producer | INFO | Delivered to topic=transactions partition=2 offset=3818
2026-04-13 18:43:50,163 | kafka_producer | INFO | Delivered to topic=transactions partition=2 offset=3819
2026-04-13 18:43:50,164 | kafka_producer | INFO | Delivered to topic=transactions partition=2 offset=3820
2026-04-13 18:43:50,165 | kafka_producer | INFO | Delivered to topic=transactions partition=2 offset=3821
2026-04-13 18:43:50,165 | kafka_producer | INFO | Delivered to topic=transactions partition=2 offset=3822
2026-04-13 18:43:50,166 | kafka_producer | INFO | Delivered to topic=transactions partition=2 offset=3823
2026-04-13 18:43:50,167 | kafka_producer | INFO | Delivered to topic=transactions partition=2 offset=3824
2026-04-13 18:43:50,167 | kafka_producer | INFO | Delivered to topic=transactions partition=2 offset=3825
2026-04-13 18:43:50,168 | kafka_producer | INFO | Delivered to topic=transactions partition=2 offset=3826
2026-04-13 18:43:50,169 | kafka_producer | INFO | Delivered to topic=transactions partition=2 offset=3827
2026-04-13 18:43:50,169 | kafka_producer | INFO | Delivered to topic=transactions partition=2 offset=3828
2026-04-13 18:43:50,170 | kafka_producer | INFO | Delivered to topic=transactions partition=2 offset=3829
2026-04-13 18:43:50,171 | kafka_producer | INFO | Delivered to topic=transactions partition=2 offset=3830
2026-04-13 18:43:50,171 | kafka_producer | INFO | Delivered to topic=transactions partition=2 offset=3831
2026-04-13 18:43:50,172 | kafka_producer | INFO | Delivered to topic=transactions partition=2 offset=3832
2026-04-13 18:43:50,172 | kafka_producer | INFO | Delivered to topic=transactions partition=2 offset=3833
2026-04-13 18:43:50,173 | kafka_producer | INFO | Delivered to topic=transactions partition=2 offset=3834
2026-04-13 18:43:50,173 | kafka_producer | INFO | Delivered to topic=transactions partition=2 offset=3835
2026-04-13 18:43:50,174 | kafka_producer | INFO | Delivered to topic=transactions partition=2 offset=3836
2026-04-13 18:43:50,175 | kafka_producer | INFO | Delivered to topic=transactions partition=2 offset=3837
2026-04-13 18:43:50,175 | kafka_producer | INFO | Delivered to topic=transactions partition=2 offset=3838
2026-04-13 18:43:50,176 | kafka_producer | INFO | Delivered to topic=transactions partition=2 offset=3839
2026-04-13 18:43:50,176 | kafka_producer | INFO | Delivered to topic=transactions partition=2 offset=3840
2026-04-13 18:43:50,177 | kafka_producer | INFO | Delivered to topic=transactions partition=2 offset=3841
2026-04-13 18:43:50,178 | kafka_producer | INFO | Delivered to topic=transactions partition=2 offset=3842
2026-04-13 18:43:50,179 | kafka_producer | INFO | Delivered to topic=transactions partition=2 offset=3843
2026-04-13 18:43:50,180 | kafka_producer | INFO | Delivered to topic=transactions partition=2 offset=3844
2026-04-13 18:43:50,180 | kafka_producer | INFO | Delivered to topic=transactions partition=2 offset=3845
2026-04-13 18:43:50,181 | kafka_producer | INFO | Delivered to topic=transactions partition=2 offset=3846
2026-04-13 18:43:50,182 | kafka_producer | INFO | Delivered to topic=transactions partition=2 offset=3847
2026-04-13 18:43:50,182 | kafka_producer | INFO | Delivered to topic=transactions partition=2 offset=3848
2026-04-13 18:43:50,183 | kafka_producer | INFO | Delivered to topic=transactions partition=2 offset=3849
2026-04-13 18:43:50,183 | kafka_producer | INFO | Delivered to topic=transactions partition=2 offset=3850
2026-04-13 18:43:50,184 | kafka_producer | INFO | Sent batch of 50 events to topic 'transactions'
2026-04-13 18:43:51,198 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4098
2026-04-13 18:43:51,200 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4099
2026-04-13 18:43:51,201 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4100
2026-04-13 18:43:51,203 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4101
2026-04-13 18:43:51,205 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4102
2026-04-13 18:43:51,208 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4103
2026-04-13 18:43:51,211 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4104
2026-04-13 18:43:51,213 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4105
2026-04-13 18:43:51,214 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4106
2026-04-13 18:43:51,215 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4107
2026-04-13 18:43:51,217 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4108
2026-04-13 18:43:51,218 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4109
2026-04-13 18:43:51,218 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4110
2026-04-13 18:43:51,219 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4111
2026-04-13 18:43:51,220 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4112
2026-04-13 18:43:51,221 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4113
2026-04-13 18:43:51,222 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4114
2026-04-13 18:43:51,223 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4115
2026-04-13 18:43:51,224 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4116
2026-04-13 18:43:51,225 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4117
2026-04-13 18:43:51,226 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4118
2026-04-13 18:43:51,227 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4119
2026-04-13 18:43:51,228 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4120
